,Speaker,Topic,Token
0,Jina,Art and Exhibition,depress
1,Jina,Art and Exhibition,2015
2,Jina,Art and Exhibition,treatment
3,Jina,Art and Exhibition,tri
4,Jina,Art and Exhibition,chang
5,Jina,Art and Exhibition,lifestyl
6,Jina,Art and Exhibition,avoid
7,Jina,Art and Exhibition,stress
8,Jina,Art and Exhibition,life
9,Jina,Art and Exhibition,found
10,Jina,Art and Exhibition,difficult
11,Jina,Art and Exhibition,group
12,Jina,Art and Exhibition,share
13,Jina,Art and Exhibition,becuas
14,Jina,Art and Exhibition,countri
15,Jina,Art and Exhibition,societi
16,Jina,Art and Exhibition,japan
17,Jina,Art and Exhibition,tokyo
18,Jina,Art and Exhibition,activ
19,Jina,Art and Exhibition,especi
20,Jina,Art and Exhibition,open
21,Jina,Art and Exhibition,taboo
22,Jina,Art and Exhibition,word
23,Jina,Art and Exhibition,depress
24,Jina,Art and Exhibition,80%
25,Jina,Art and Exhibition,peopl
26,Jina,Art and Exhibition,freak
27,Jina,Art and Exhibition,shit
28,Jina,Art and Exhibition,crazi
29,Jina,Art and Exhibition,know
30,Jina,Art and Exhibition,idea
31,Jina,Art and Exhibition,wanna
32,Jina,Art and Exhibition,break
33,Jina,Art and Exhibition,taboo
34,Jina,Art and Exhibition,share
35,Jina,Art and Exhibition,stori
36,Jina,Art and Exhibition,friend
37,Jina,Art and Exhibition,friend
38,Jina,Art and Exhibition,know
39,Jina,Art and Exhibition,suffer
40,Jina,Art and Exhibition,tell
41,Jina,Art and Exhibition,feel
42,Jina,Art and Exhibition,sad
43,Jina,Art and Exhibition,right
44,Jina,Art and Exhibition,temporari
45,Jina,Art and Exhibition,right
46,Jina,Art and Exhibition,exhibit
47,Jina,Art and Exhibition,tri
48,Jina,Art and Exhibition,captur
49,Jina,Art and Exhibition,daili
50,Jina,Art and Exhibition,life
51,Jina,Art and Exhibition,depress
52,Jina,Art and Exhibition,introduc
53,Jina,Art and Exhibition,peopl
54,Jina,Art and Exhibition,let
55,Jina,Art and Exhibition,opporotunti
56,Jina,Art and Exhibition,talk
57,Jina,Art and Exhibition,therapeut
58,Jina,Art and Exhibition,enjoy
59,Jina,Art and Exhibition,process
60,Jina,Art and Exhibition,mani
61,Jina,Art and Exhibition,friend
62,Jina,Art and Exhibition,engag
63,Jina,Art and Exhibition,project
64,Jina,Art and Exhibition,share
65,Jina,Art and Exhibition,inspir
66,Jina,Art and Exhibition,educ
67,Jina,Art and Exhibition,learn
68,Jina,Art and Exhibition,thing
69,Jina,Art and Exhibition,project
70,Jina,Art and Exhibition,start
71,Jina,Art and Exhibition,brought
72,Jina,Art and Exhibition,idea
73,Jina,Art and Exhibition,met
74,Jina,Art and Exhibition,chronic
75,Jina,Art and Exhibition,depress
76,Jina,Art and Exhibition,drop
77,Jina,Art and Exhibition,bomb
78,Jina,Art and Exhibition,chronic
79,Jina,Art and Exhibition,depress
80,Jina,Art and Exhibition,research
81,Jina,Art and Exhibition,know
82,Jina,Art and Exhibition,topic
83,Jina,Art and Exhibition,super
84,Jina,Art and Exhibition,smoothli
85,Jina,Art and Exhibition,easili
86,Jina,Art and Exhibition,casual
